market,internal_submarket,internal_industry,Time_Period,Industry_Total_SF,Industry_Lease_Count,Industry_New_Expansion_SF,Industry_Avg_SF_Per_Lease,Market_Industry_Total_SF,Industry_Submarket_Share,NewExp_Rank_Pct,TotalSF_Rank_Pct,Median_Total_SF_Group,Submarket_Profile,Hotspot_Types_List,Raw_Score,Overall_Score
Atlanta,Buckhead,Financial Services and Insurance,Post,612164.0,15,244169.0,40810.933333333334,2773973.0,0.22068131160613316,0.7142857142857143,0.8571428571428571,447939.0,CBD-A,['Volume_Hub'],1,0.09090909090909091
Atlanta,Buckhead,Financial Services and Insurance,Pre,157395.0,4,103844.0,39348.75,1715924.0,0.09172609043290962,0.6666666666666666,0.3333333333333333,215545.0,CBD-A,[],0,0.0
Atlanta,Buckhead,Legal Services,Post,178521.0,3,0.0,59507.0,784893.0,0.2274462888572073,0.25,0.6666666666666666,118664.5,CBD-A,[],0,0.0
Atlanta,Buckhead,Legal Services,Pre,50000.0,1,0.0,50000.0,489497.0,0.1021456719857323,0.5,0.6666666666666666,50000.0,CBD-A,[],0,0.0
Atlanta,Buckhead,"Technology, Advertising, Media, and Information",Post,780713.0,10,464320.0,78071.3,4125424.0,0.1892443055550169,0.5714285714285714,0.8571428571428571,625046.0,CBD-A,['Volume_Hub'],1,0.09090909090909091
Atlanta,Buckhead,"Technology, Advertising, Media, and Information",Pre,47670.0,1,0.0,47670.0,2069294.0,0.023036842517303004,0.1875,0.25,176097.0,CBD-A,[],0,0.0
Atlanta,Central Perimeter,Financial Services and Insurance,Post,588427.0,12,250802.0,49035.583333333336,2773973.0,0.21212427085627725,0.8571428571428571,0.7142857142857143,447939.0,Suburban-A,"['Growth_Hub', 'Cost_Concious']",5,0.45454545454545453
Atlanta,Central Perimeter,Financial Services and Insurance,Pre,189357.0,5,94018.0,37871.4,1715924.0,0.11035278951748445,0.5,0.5,215545.0,Suburban-A,[],0,0.0
Atlanta,Central Perimeter,Legal Services,Post,27000.0,1,0.0,27000.0,784893.0,0.034399593320363415,0.25,0.3333333333333333,118664.5,Suburban-A,[],0,0.0
Atlanta,Central Perimeter,"Technology, Advertising, Media, and Information",Post,1041771.0,12,838059.0,86814.25,4125424.0,0.25252458898770164,1.0,1.0,625046.0,Suburban-A,"['Volume_Hub', 'Growth_Hub', 'Cost_Concious']",6,0.5454545454545454
Atlanta,Central Perimeter,"Technology, Advertising, Media, and Information",Pre,656746.0,10,171985.0,65674.6,2069294.0,0.3173768444696597,0.75,1.0,176097.0,Suburban-A,"['Volume_Hub', 'Cost_Concious']",3,0.2727272727272727
Atlanta,Downtown,Financial Services and Insurance,Post,104100.0,1,0.0,104100.0,2773973.0,0.0375274020331128,0.14285714285714285,0.2857142857142857,447939.0,CBD-A,[],0,0.0
Atlanta,Downtown,Legal Services,Post,252906.0,3,11719.0,84302.0,784893.0,0.32221716845480847,0.5,1.0,118664.5,CBD-A,['Volume_Hub'],1,0.09090909090909091
Atlanta,Downtown,"Technology, Advertising, Media, and Information",Post,533631.0,4,20819.0,133407.75,4125424.0,0.1293517951124539,0.14285714285714285,0.42857142857142855,625046.0,CBD-A,[],0,0.0
Atlanta,Downtown,"Technology, Advertising, Media, and Information",Pre,182694.0,2,83780.0,91347.0,2069294.0,0.08828808279538819,0.5,0.625,176097.0,CBD-A,[],0,0.0
Atlanta,Midtown,Financial Services and Insurance,Post,199193.0,5,199193.0,39838.6,2773973.0,0.07180783662998882,0.5714285714285714,0.42857142857142855,447939.0,CBD-A,[],0,0.0
