year,quarter,internal_industry,market,leasedSF_sum,leasedSF_mean
2018,1,Financial Services and Insurance,Atlanta,134852.0,33713.0
2018,1,Financial Services and Insurance,Austin,68556.0,34278.0
2018,1,Financial Services and Insurance,Charlotte,642920.0,214306.66666666666
2018,1,Financial Services and Insurance,Chicago,1164353.0,129372.55555555556
2018,1,Financial Services and Insurance,Chicago Suburbs,10086.0,10086.0
2018,1,Financial Services and Insurance,Dallas/Ft Worth,333873.0,66774.6
2018,1,Financial Services and Insurance,Detroit,26017.0,26017.0
2018,1,Financial Services and Insurance,Houston,39049.0,19524.5
2018,1,Financial Services and Insurance,Los Angeles,248431.0,82810.33333333333
2018,1,Financial Services and Insurance,Manhattan,2543506.0,79484.5625
2018,1,Financial Services and Insurance,Northern New Jersey,211078.0,70359.33333333333
2018,1,Financial Services and Insurance,Northern Virginia,971308.0,485654.0
2018,1,Financial Services and Insurance,Orange County,150703.0,37675.75
2018,1,Financial Services and Insurance,Philadelphia,122070.0,61035.0
2018,1,Financial Services and Insurance,Phoenix,174522.0,58174.0
2018,1,Financial Services and Insurance,San Diego,145122.0,72561.0
2018,1,Financial Services and Insurance,San Francisco,67673.0,33836.5
2018,1,Financial Services and Insurance,South Florida,41100.0,20550.0
2018,1,Financial Services and Insurance,Southern Maryland,94567.0,23641.75
2018,1,Financial Services and Insurance,Tampa,86154.0,43077.0
2018,1,Financial Services and Insurance,Washington D.C.,50186.0,25093.0
2018,1,Legal Services,Atlanta,139277.0,69638.5
2018,1,Legal Services,Boston,100593.0,100593.0
2018,1,Legal Services,Chicago,92658.0,30886.0
2018,1,Legal Services,Dallas/Ft Worth,188897.0,94448.5
2018,1,Legal Services,Denver,23878.0,23878.0
2018,1,Legal Services,Houston,24494.0,24494.0
2018,1,Legal Services,Los Angeles,169046.0,33809.2
2018,1,Legal Services,Manhattan,430084.0,43008.4
2018,1,Legal Services,Orange County,30887.0,15443.5
2018,1,Legal Services,San Diego,24368.0,24368.0
2018,1,Legal Services,San Francisco,78414.0,78414.0
2018,1,Legal Services,Seattle,31081.0,31081.0
2018,1,Legal Services,Tampa,41002.0,20501.0
2018,1,Legal Services,Washington D.C.,192192.0,64064.0
2018,1,"Technology, Advertising, Media, and Information",Atlanta,168006.0,33601.2
2018,1,"Technology, Advertising, Media, and Information",Austin,276903.0,46150.5
2018,1,"Technology, Advertising, Media, and Information",Baltimore,59161.0,59161.0
2018,1,"Technology, Advertising, Media, and Information",Boston,94623.0,47311.5
2018,1,"Technology, Advertising, Media, and Information",Charlotte,53716.0,26858.0
2018,1,"Technology, Advertising, Media, and Information",Chicago,241677.0,60419.25
2018,1,"Technology, Advertising, Media, and Information",Chicago Suburbs,54492.0,54492.0
2018,1,"Technology, Advertising, Media, and Information",Dallas/Ft Worth,41225.0,41225.0
2018,1,"Technology, Advertising, Media, and Information",Denver,76122.0,25374.0
2018,1,"Technology, Advertising, Media, and Information",Houston,98271.0,32757.0
2018,1,"Technology, Advertising, Media, and Information",Los Angeles,299106.0,37388.25
2018,1,"Technology, Advertising, Media, and Information",Manhattan,1180008.0,56190.857142857145
2018,1,"Technology, Advertising, Media, and Information",Northern Virginia,338148.0,84537.0
2018,1,"Technology, Advertising, Media, and Information",Orange County,49494.0,24747.0
2018,1,"Technology, Advertising, Media, and Information",Philadelphia,24112.0,24112.0
2018,1,"Technology, Advertising, Media, and Information",Raleigh/Durham,94157.0,47078.5
2018,1,"Technology, Advertising, Media, and Information",San Diego,186680.0,46670.0
2018,1,"Technology, Advertising, Media, and Information",San Francisco,432471.0,39315.545454545456
2018,1,"Technology, Advertising, Media, and Information",Seattle,293950.0,97983.33333333333
2018,1,"Technology, Advertising, Media, and Information",South Bay/San Jose,934392.0,233598.0
2018,1,"Technology, Advertising, Media, and Information",Southern Maryland,110000.0,110000.0
2018,1,"Technology, Advertising, Media, and Information",Tampa,49000.0,49000.0
