"750 Canyon Dr, Coppell, TX, 75019","-97.014091534613,32.981989477974"
"132 E 13065 S, Draper, UT, 84020","-111.889215168364,40.514480694561"
"4560 Belt Line Rd, Addison, TX, 75001","-96.832901311798,32.954000212711"
"10150 Mallard Creek Rd, Charlotte, NC, 28262","-80.770477211329,35.339442506045"
"13552 S 110 W, Draper, UT, 84020","-111.894660652775,40.505456072186"
"4040 N Central Expy, Dallas, TX, 75204","-96.790791666334,32.812101094042"
"5821 Fairview Rd, Charlotte, NC, 28209","-80.842865235194,35.151887364675"
"2150 S 1300 E, Salt Lake City, UT, 84106","-111.853881736542,40.724316006224"
"8801 JM Keynes Dr, Charlotte, NC, 28262","-80.74994581779,35.307761432465"
"11020 David Taylor Dr, Charlotte, NC, 28262","-80.764874847383,35.339852017848"
"3735 Glen Lake Dr, Charlotte, NC, 28208","-80.91690893582,35.201520351669"
"7930 W Kenton Cir, Huntersville, NC, 28078","-80.890576713448,35.444765631088"
"11325 N Community House Rd, Charlotte, NC, 28277","-80.835919084908,35.056762888997"
"100 S Independence Mall W, Philadelphia, PA, 19106","-75.150854142245,39.949172270727"
"500 Park Blvd, Itasca, IL, 60143","-88.019709932006,41.98542872235"
"4141 S Highland Dr, Salt Lake City, UT, 84124","-111.843210386422,40.681625926934"
"555 Pierce Rd, Itasca, IL, 60143","-88.014585489062,41.989077019478"
"5200 S Highland Dr, Salt Lake City, UT, 84117","-111.834877059288,40.656265202816"
"115 W 7th St, Fort Worth, TX, 76102","-97.330024074053,32.752553159141"
"230 W Towne Ridge Pky, Sandy, UT, 84070","-111.898160120366,40.575808826478"
"1301 W President George Bush Tpke, Richardson, TX, 75080",
"242-252 E Broadway S, Salt Lake City, UT, 84111","-111.883821814462,40.762772666321"
"2100 McKinney Ave, Dallas, TX, 75201","-96.803180749394,32.7916277445"
"6100 Fairview Rd, Charlotte, NC, 28210","-80.838233478098,35.151006818728"
"2825 E Cottonwood Pky, Salt Lake City, UT, 84121","-111.811148662873,40.63289334119"
"211 N Record St, Dallas, TX, 75202","-96.807296748207,32.779863061872"
"10735 David Taylor Dr, Charlotte, NC, 28262","-80.765883718077,35.336817338795"
"120 W Vine St, Murray, UT, 84107","-111.894628176666,40.661847492452"
"2828 Routh St, Dallas, TX, 75201","-96.803922759299,32.798321098855"
